Epoch: [13][0/27], lr: 0.00100	Time 36.645 (36.645)	Data 36.213 (36.213)	Loss 1.4021 (1.4021)	Prec@1 50.000 (50.000)	Prec@5 62.500 (62.500)
Epoch: [13][20/27], lr: 0.00100	Time 0.345 (2.330)	Data 0.000 (1.976)	Loss 1.4245 (1.4445)	Prec@1 37.500 (25.595)	Prec@5 50.000 (72.024)
Epoch: [14][0/27], lr: 0.00100	Time 61.889 (61.889)	Data 61.481 (61.481)	Loss 1.4162 (1.4162)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)
Epoch: [14][20/27], lr: 0.00100	Time 0.351 (3.424)	Data 0.000 (3.071)	Loss 1.4537 (1.4673)	Prec@1 0.000 (20.833)	Prec@5 75.000 (69.643)
Test: [0/6]	Time 2.160 (2.160)	Loss 1.3656 (1.3656)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 71.739 Loss 1.45269 
Best Prec@1: 28.261
Epoch: [15][0/27], lr: 0.00100	Time 58.918 (58.918)	Data 58.527 (58.527)	Loss 1.6458 (1.6458)	Prec@1 0.000 (0.000)	Prec@5 50.000 (50.000)
Epoch: [15][20/27], lr: 0.00100	Time 0.345 (3.219)	Data 0.000 (2.874)	Loss 1.6028 (1.4757)	Prec@1 25.000 (24.405)	Prec@5 62.500 (66.667)
Epoch: [16][0/27], lr: 0.00100	Time 50.677 (50.677)	Data 50.293 (50.293)	Loss 1.4362 (1.4362)	Prec@1 0.000 (0.000)	Prec@5 75.000 (75.000)
Epoch: [16][20/27], lr: 0.00100	Time 0.349 (2.837)	Data 0.000 (2.488)	Loss 1.3615 (1.4371)	Prec@1 12.500 (17.857)	Prec@5 100.000 (73.810)
Epoch: [17][0/27], lr: 0.00100	Time 42.804 (42.804)	Data 42.421 (42.421)	Loss 1.4243 (1.4243)	Prec@1 25.000 (25.000)	Prec@5 62.500 (62.500)
Epoch: [17][20/27], lr: 0.00100	Time 0.346 (2.584)	Data 0.000 (2.234)	Loss 1.3998 (1.4070)	Prec@1 25.000 (25.595)	Prec@5 75.000 (66.071)
Epoch: [18][0/27], lr: 0.00100	Time 41.802 (41.802)	Data 41.378 (41.378)	Loss 1.3844 (1.3844)	Prec@1 0.000 (0.000)	Prec@5 87.500 (87.500)
Epoch: [18][20/27], lr: 0.00100	Time 0.349 (2.535)	Data 0.000 (2.181)	Loss 1.3705 (1.3942)	Prec@1 37.500 (28.571)	Prec@5 87.500 (77.381)
Epoch: [19][0/27], lr: 0.00100	Time 42.015 (42.015)	Data 41.626 (41.626)	Loss 1.3582 (1.3582)	Prec@1 37.500 (37.500)	Prec@5 87.500 (87.500)
Epoch: [19][20/27], lr: 0.00100	Time 0.347 (2.326)	Data 0.000 (1.982)	Loss 1.4009 (1.4112)	Prec@1 25.000 (26.786)	Prec@5 75.000 (76.786)
Test: [0/6]	Time 2.453 (2.453)	Loss 1.4929 (1.4929)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 28.261 Prec@5 76.087 Loss 1.38880 
Best Prec@1: 28.261
Epoch: [20][0/27], lr: 0.00100	Time 40.714 (40.714)	Data 40.313 (40.313)	Loss 1.4458 (1.4458)	Prec@1 12.500 (12.500)	Prec@5 62.500 (62.500)
Epoch: [20][20/27], lr: 0.00100	Time 0.347 (2.266)	Data 0.000 (1.920)	Loss 1.4210 (1.4299)	Prec@1 25.000 (22.024)	Prec@5 62.500 (71.429)
Epoch: [21][0/27], lr: 0.00100	Time 36.935 (36.935)	Data 36.523 (36.523)	Loss 1.4288 (1.4288)	Prec@1 12.500 (12.500)	Prec@5 75.000 (75.000)
Epoch: [21][20/27], lr: 0.00100	Time 0.348 (2.101)	Data 0.000 (1.755)	Loss 1.4375 (1.4073)	Prec@1 12.500 (25.000)	Prec@5 75.000 (72.619)
Epoch: [22][0/27], lr: 0.00100	Time 33.008 (33.008)	Data 32.511 (32.511)	Loss 1.3693 (1.3693)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)
Epoch: [22][20/27], lr: 0.00100	Time 0.344 (1.977)	Data 0.000 (1.626)	Loss 1.3859 (1.4247)	Prec@1 12.500 (22.619)	Prec@5 87.500 (73.810)
Epoch: [23][0/27], lr: 0.00100	Time 27.946 (27.946)	Data 27.561 (27.561)	Loss 1.4429 (1.4429)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)
Epoch: [23][20/27], lr: 0.00100	Time 0.346 (1.784)	Data 0.000 (1.439)	Loss 1.3772 (1.4337)	Prec@1 50.000 (25.595)	Prec@5 62.500 (75.000)
Epoch: [24][0/27], lr: 0.00100	Time 32.333 (32.333)	Data 31.913 (31.913)	Loss 1.2707 (1.2707)	Prec@1 37.500 (37.500)	Prec@5 100.000 (100.000)
Epoch: [24][20/27], lr: 0.00100	Time 0.343 (1.864)	Data 0.000 (1.520)	Loss 1.5765 (1.4401)	Prec@1 12.500 (25.595)	Prec@5 50.000 (71.429)
Test: [0/6]	Time 2.266 (2.266)	Loss 1.2300 (1.2300)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 71.739 Loss 1.40201 
Best Prec@1: 28.261
Epoch: [25][0/27], lr: 0.00100	Time 28.931 (28.931)	Data 28.538 (28.538)	Loss 1.3651 (1.3651)	Prec@1 50.000 (50.000)	Prec@5 62.500 (62.500)
Epoch: [25][20/27], lr: 0.00100	Time 0.346 (1.753)	Data 0.000 (1.406)	Loss 1.3893 (1.3970)	Prec@1 50.000 (22.619)	Prec@5 75.000 (73.810)
Epoch: [26][0/27], lr: 0.00100	Time 27.966 (27.966)	Data 27.499 (27.499)	Loss 1.3703 (1.3703)	Prec@1 37.500 (37.500)	Prec@5 62.500 (62.500)
Epoch: [26][20/27], lr: 0.00100	Time 0.341 (1.659)	Data 0.000 (1.311)	Loss 1.5070 (1.4349)	Prec@1 0.000 (23.810)	Prec@5 75.000 (70.238)
Epoch: [27][0/27], lr: 0.00100	Time 24.810 (24.810)	Data 24.398 (24.398)	Loss 1.3509 (1.3509)	Prec@1 25.000 (25.000)	Prec@5 100.000 (100.000)
Epoch: [27][20/27], lr: 0.00100	Time 0.344 (1.624)	Data 0.000 (1.274)	Loss 1.4132 (1.3897)	Prec@1 25.000 (23.810)	Prec@5 75.000 (75.595)
Epoch: [28][0/27], lr: 0.00100	Time 21.148 (21.148)	Data 20.703 (20.703)	Loss 1.4551 (1.4551)	Prec@1 25.000 (25.000)	Prec@5 87.500 (87.500)
Epoch: [28][20/27], lr: 0.00100	Time 0.345 (1.505)	Data 0.000 (1.150)	Loss 1.3695 (1.4264)	Prec@1 12.500 (22.024)	Prec@5 75.000 (67.857)
Epoch: [29][0/27], lr: 0.00100	Time 25.635 (25.635)	Data 25.250 (25.250)	Loss 1.4345 (1.4345)	Prec@1 50.000 (50.000)	Prec@5 62.500 (62.500)
Epoch: [29][20/27], lr: 0.00100	Time 0.340 (1.544)	Data 0.000 (1.203)	Loss 1.4047 (1.4326)	Prec@1 25.000 (21.429)	Prec@5 87.500 (73.214)
Test: [0/6]	Time 2.480 (2.480)	Loss 1.2941 (1.2941)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 28.261 Prec@5 76.087 Loss 1.39806 
Best Prec@1: 28.261
Epoch: [30][0/27], lr: 0.00100	Time 22.802 (22.802)	Data 22.333 (22.333)	Loss 1.3867 (1.3867)	Prec@1 12.500 (12.500)	Prec@5 100.000 (100.000)
Epoch: [30][20/27], lr: 0.00100	Time 0.352 (1.466)	Data 0.000 (1.114)	Loss 1.5260 (1.4476)	Prec@1 12.500 (21.429)	Prec@5 37.500 (69.643)
Epoch: [31][0/27], lr: 0.00100	Time 17.132 (17.132)	Data 16.713 (16.713)	Loss 1.4490 (1.4490)	Prec@1 12.500 (12.500)	Prec@5 62.500 (62.500)
